,ship-city,ship-state,ship-postal-code
37021,BARIPADA,Odisha,757002.0
37022,THIRUVANANTHAPURAM,Kerala,695008.0
37023,PALAKKAD,Kerala,678681.0
37024,Bengaluru,Karnataka,560098.0
37025,BHUBANESWAR,Odisha,751009.0
37026,PANIPAT,Haryana,132103.0
37027,MUMBAI,Maharashtra,400022.0
37028,CHENNAI,Tamil Nadu,600077.0
37029,CHENNAI,Tamil Nadu,600077.0
37030,THANE,Maharashtra,401105.0
37031,Portblair,Andaman & Nicobar Islands,744103.0
37032,IMPHAL west,Manipur,795001.0
37033,IMPHAL west,Manipur,795001.0
37034,GHAZIABAD,Uttar Pradesh,201012.0
37035,GHAZIABAD,Uttar Pradesh,201012.0
37036,BENGALURU,Karnataka,560078.0
37037,NAGPUR,Maharashtra,440024.0
37038,VADODARA,Gujarat,391410.0
37039,PUNE,Maharashtra,411015.0
37040,SOLAPUR,Maharashtra,413228.0
37041,KAGAL,Maharashtra,416216.0
37042,Tezpur,Assam,784001.0
37043,THODUPUZHA,Kerala,685585.0
37044,Pune-411028,Maharashtra,411028.0
37045,BHILWARA,Rajasthan,311001.0
37046,VISAKHAPATNAM,Andhra Pradesh,530014.0
37047,MUMBAI,Maharashtra,400093.0
37048,KUDRA,Bihar,821108.0
37049,NEW TOWN,West Bengal,700135.0
37050,CHOONDAL,Kerala,680502.0
37051,CHOONDAL,Kerala,680502.0
37052,GORAKHPUR,Uttar Pradesh,273016.0
37053,MANGALURU,Karnataka,575002.0
37054,CHENNAI,Tamil Nadu,600100.0
37055,CONTAI,West Bengal,721401.0
37056,MALLANKINARU,Tamil Nadu,626109.0
37057,PATAN,Maharashtra,415206.0
37058,Gurgaon,Haryana,122018.0
37059,Gurgaon,Haryana,122018.0
37060,bangalore,Karnataka,560040.0
37061,BENGALURU,Karnataka,560034.0
37062,GURUGRAM,Haryana,122001.0
37063,GREATER NOIDA,Uttar Pradesh,201310.0
37064,FERRARGUNJ,Andaman & Nicobar Islands,744103.0
37065,KOLKATA,West Bengal,700002.0
37066,PUNE,Maharashtra,412408.0
37067,Kodinhi p o,Kerala,676309.0
37068,BENGALURU,Karnataka,560100.0
37069,MUMBAI,Maharashtra,400063.0
37070,Bangalore,Karnataka,560043.0
37071,MUMBAI,Maharashtra,400051.0
37072,BENGALURU,Karnataka,560037.0
37073,NEW DELHI,Delhi,110045.0
37074,BENGALURU,Karnataka,560017.0
37075,HYDERABAD,Telangana,500089.0
37076,NEW DELHI,Delhi,110075.0
37077,Jamugurihat,Assam,784180.0
37078,THRIPPUNITHURA,Kerala,682301.0
37079,MUMBAI,Maharashtra,400059.0
37080,Kolkata,West Bengal,700090.0
37081,PANIHATI,West Bengal,700115.0
37082,UDAIPUR,Rajasthan,313001.0
37083,PUNE,Maharashtra,411023.0
37084,PUNE,Maharashtra,411023.0
37085,Pune,Maharashtra,411057.0
37086,FARIDABAD,Haryana,121008.0
37087,Chandigarh,Chandigarh,160047.0
37088,SURAT,Gujarat,395007.0
37089,ghodegaon,Maharashtra,414607.0
37090,SAHARANPUR,Uttar Pradesh,247001.0
37091,MUMBAI,Maharashtra,400004.0
37092,Bengaluru,Karnataka,560097.0
37093,MARGAO,Goa,403601.0
37094,Chandigarh,Chandigarh,160047.0
37095,HYDERABAD,Telangana,500036.0
37096,BENGALURU,Karnataka,560016.0
37097,CHENNAI,Tamil Nadu,600014.0
37098,PUNE,Maharashtra,411057.0
37099,LUCKNOW,Uttar Pradesh,226005.0
37100,JAIPUR,Rajasthan,302021.0
37101,NANDIVARAM GUDUVANCHERI,Tamil Nadu,603203.0
37102,KHERLI,Rajasthan,321606.0
37103,KOLKATA,West Bengal,700028.0
37104,GANDHIDHAM,Gujarat,370201.0
